entry,pdb_code
P60274,1MTQ 5UG3 5UG5
P60590,1KOZ
P60615,1ABT 1BXP 1HAA 1HAJ 1HC9 1HOY 1IDG 1IDH 1IDI 1IDL 1IK8 1IKC 1JBD 1KC4 1KFH 1KL8 1L4W 1LJZ 1RGJ 2ABX 2BTX 6UWZ 8DA1
P62166,1G8I 2LCP 4GUK 5O9S 6QI4
P62903,null
P69657,2I28 2NS3 4EZ1
P69747,2H8S 2MFX 2MFY 2MG6 2N07 4TTL 6CGX 7KNN
P80719,1TXM 1WPD 1WT7
P81755,1WCT
P82851,1HP9 6ATS
P83476,2N9T 5O0U 5TCZ 6MK4 6N4I 6N4Q 6N4R
P83655,null
P84507,5EPM 6BR0
P84508,6BTV
P84777,2AXK
P84809,null
P84810,null
P84845,null
P85013,null
P85886,null
P86822,null
Q0GY40,5IPO 5JYH
Q1L777,5JME
Q2PAY4,6CGW 6CHC 6CNU
Q7YT39,1LU8 1TYK
Q86DU6,null
Q86QT3,1NE5 1PX9
Q8I0L5,null
Q9BKB7,1J5J 1LGL
Q9BPG6,null
Q9NBG9,1M2S
Q9NII7,1BKT 2K4U 2MLA 2MLD
Q9NJC7,2KBH 2KBJ
Q9PWF3,1H5O 1Z99
Q9TVX3,null
A0A1L2FZD4,null
A0A2L2P6T9,null
A0A3G3C7U9,null
A0A7M4DUE8,6X8R
A1X8D8,null
A6YR20,null
A6YR21,null
B1P1F7,8CIQ 8CJP 8CJQ 8CJR 8CJS 8CJT
B3EWN3,null
B3EWY1,null
B8XH01,null
C0HJQ6,null
C0HJU6,null
C0HJU7,null
C0HKB2,null
C0HKB3,7ZRU
C0HM65,null
C1J5M6,2LO9 2LOC
D5J6X1,null
E7CAU3,null
I1SB07,2YEN
J7GY56,null
M1JBC0,null
P01496,5CY0
P08815,1SXM
P0C162,null
P0C164,null
P0C165,null
P0C174,2MSF
P0C175,null
P0C1W3,null
P0C1W8,null
P0C1X2,1Y62 2CA7 6Q61 6Q6C 6YHY
P0C8M0,null
P0CE73,null
P0CE77,null
P0CG45,null
P0DJA9,null
P0DKQ3,null
P0DM14,null
P0DQT9,null
P28881,1MVJ
P31719,1PNH
P37300,1CNN 1OMN 1V4Q
